account_email,cv_type,title,description,summary,birth_date,working_since
amol@drc.com,DEVELOPER,"Technical Lead",,"Having good hands on experience of 11+ years in cloud computing, Networking and Project Management with technical expertise in the implementation, operations and support functions of mission-critical business solutions using IT as a tool.",23/2/1986,20/6/2018
ajit@drc.com,DEVELOPER,Software Engineer,,Results-driven software engineer with expertise in developing scalable and efficient applications. Proficient in multiple programming languages and experienced in working on diverse projects.,10/9/1988,5/4/2012
arya@drc.com,QE,Marketing Manager,,Dynamic marketing manager with a proven track record of driving successful marketing campaigns and achieving targets. Proficient in developing strategic marketing plans and leveraging digital platforms.,15/5/1991,1/7/2013
kirti@drc.com,UX,Data Analyst,,Detail-oriented data analyst skilled in analyzing and interpreting complex datasets. Proficient in SQL and data visualization tools. Experienced in providing actionable insights to support data-driven decision making.,7/12/1990,10/2/2014
amol@cloud.co.in,PRODUCT,UX Designer,,"Creative and user-focused UX designer with expertise in user research, wireframing, and prototyping. Skilled in designing intuitive and engaging user interfaces for web and mobile applications.",19/8/1987,15/9/2011
ajit@cloud.co.in,BA,Sales Manager,,Accomplished sales manager with a track record of exceeding targets and building strong client relationships. Skilled in leading sales teams and implementing effective sales strategies.,12/6/1989,3/12/2012
arya@cloud.co.in,DEVELOPER,Project Manager,,"Experienced project manager proficient in Agile methodologies. Skilled in leading cross-functional teams and delivering projects within scope, timeline, and budget.",29/3/1985,20/8/2008
kirti@cloud.co.in,QE,Web Developer,,"Skilled web developer proficient in HTML, CSS, JavaScript, and various frameworks. Experienced in developing responsive and user-friendly websites.",4/7/1992,11/11/2015
john@abc.com,UX,Marketing Specialist,,"Results-oriented marketing specialist with expertise in digital marketing campaigns. Proficient in SEO, SEM, and social media marketing.",18/9/1993,7/6/2016
jane@abc.com,PRODUCT,Software Architect,,Experienced software architect with a strong background in designing and implementing scalable and robust software solutions. Proficient in various programming languages and frameworks.,8/4/1987,2/9/2010
mark@abc.com,BA,Frontend Developer,,"Skilled frontend developer with expertise in HTML, CSS, and JavaScript. Experienced in building responsive and user-friendly web applications.",14/11/1990,17/6/2014
emily@abc.com,DEVELOPER,Operations Manager,,Results-driven operations manager with a track record of streamlining processes and improving efficiency. Experienced in leading cross-functional teams and implementing strategic initiatives.,30/7/1985,9/3/2009
