account_email,title,employment_type,company_name,location,start_date,end_date,currently_working,description
amol@drc.com,Software Engineer,FTE,Informatica,Bangalore,01/06/2009,01/06/2011,False,Worked as a Sr. DevOps engineer with Australia-based leading providers of F&A BPO (Finance and Accounting Business Process Outsourcing) customer
amol@drc.com,Senior Software Engineer,FTE,Google,Bangalore,01/06/2011,"",True,SAAS based product and my role is to manage cloud Operations including CI/CD and lead 5 people team members.
ajit@drc.com,Software Engineer,FTE,ABC Corporation,San Francisco,15/02/2019,Present,TRUE,Developed and maintained software applications using Java and collaborated with cross-functional teams.
ajit@drc.com,Data Analyst,PT,XYZ Solutions,London,06/11/2017,01/01/2019,FALSE,"Conducted data analysis, created reports, and identified trends to support business decision-making."
arya@drc.com,Marketing Manager,IN,Marketing Inc.,New York,10/06/2018,Present,TRUE,"Managed marketing campaigns, developed marketing strategies, and oversaw a team of marketers."
arya@drc.com,Operations Specialist,FTE,Global Corp,Singapore,20/03/2016,23/02/2018,FALSE,"Streamlined operational processes, optimized resource allocation, and monitored performance metrics."
kirti@drc.com,Sales Representative,PT,Sales Unlimited,Chicago,05/01/2022,Present,TRUE,"Prospected and acquired new clients, presented product offerings, and achieved sales targets."
kirti@drc.com,Graphic Designer,IN,Creative Studio,Paris,01/07/2021,30/09/2021,FALSE,"Created visually appealing designs for various clients, including logos, brochures, and website graphics."
amol@cloud.co.in,HR Manager,FTE,HR Solutions,Sydney,15/08/2021,Present,TRUE,"Led HR operations, implemented HR policies, managed employee relations, and conducted recruitment."
amol@cloud.co.in,Financial Analyst,PT,Finance Corp,Toronto,02/01/2019,25/03/2021,FALSE,"Conducted financial analysis, prepared financial reports, and provided insights for business planning."
ajit@cloud.co.in,Product Manager,IN,Tech Innovators,San Francisco,25/04/2018,Present,TRUE,"Managed product development lifecycle, defined product roadmaps, and collaborated with engineering teams."
ajit@cloud.co.in,Customer Service Rep,FTE,Customer Care Inc.,London,01/11/2017,24/04/2018,FALSE,"Assisted customers, resolved inquiries, and provided excellent customer service via phone and email."
arya@cloud.co.in,Operations Manager,PT,Operations Pro,Dubai,10/09/2019,Present,TRUE,"Oversaw daily operations, managed logistics, and implemented process improvements for efficiency."
arya@cloud.co.in,Marketing Coordinator,IN,Marketing Maven,Los Angeles,12/03/2018,10/08/2019,FALSE,"Assisted in marketing campaigns, conducted market research, and coordinated promotional activities."
kirti@cloud.co.in,Software Developer,FTE,Software Solutions,Bangalore,01/06/2017,Present,TRUE,"Developed software applications, tested code, and collaborated with the development team."
kirti@cloud.co.in,Data Scientist,PT,Data Insights,Sydney,01/10/2016,01/04/2017,FALSE,"Conducted data analysis, built predictive models, and provided data-driven insights to stakeholders."
john@abc.com,Sales Manager,IN,Sales Success,New York,10/08/2021,Present,TRUE,"Led sales team, developed sales strategies, and achieved revenue targets."
john@abc.com,UX/UI Designer,FTE,Design Studio,San Francisco,01/03/2021,30/06/2021,FALSE,"Designed user interfaces, created wireframes, and collaborated with development teams."
jane@abc.com,Business Analyst,PT,Biz Solutions,Chicago,15/05/2019,Present,TRUE,"Gathered and analyzed business requirements, created functional specifications, and facilitated stakeholder meetings."
jane@abc.com,Content Writer,IN,Content Creators,London,01/07/2017,30/09/2018,FALSE,"Produced high-quality written content for websites, blogs, and social media platforms."
mark@abc.com,Operations Coordinator,FTE,Operations Pro,Sydney,20/02/2020,Present,TRUE,"Assisted in coordinating operational activities, managed schedules, and ensured smooth operations."
mark@abc.com,IT Support Specialist,PT,Tech Solutions,Seattle,05/03/2019,20/01/2020,FALSE,"Provided technical support to users, resolved hardware and software issues, and maintained IT infrastructure."
emily@abc.com,Project Manager,IN,Project Inc.,London,15/09/2020,Present,TRUE,"Managed project timelines, coordinated team activities, and ensured successful project delivery."
emily@abc.com,Customer Success Manager,FTE,Success Solutions,San Francisco,20/07/2019,15/08/2020,FALSE,"Built and maintained strong client relationships, identified opportunities for growth, and ensured customer satisfaction."
riya@xyzcorp.com,Web Developer,PT,Web Services,Berlin,01/05/2022,Present,TRUE,"Developed and maintained websites using HTML, CSS, and JavaScript, and implemented responsive design principles."
riya@xyzcorp.com,Financial Controller,IN,Finance Management,Sydney,08/11/2018,01/05/2022,FALSE,"Managed financial operations, prepared budgets and forecasts, and conducted financial analysis for strategic decision-making."
rohan@xyzcorp.com,Social Media Manager,FTE,Social Buzz,Los Angeles,10/04/2019,Present,TRUE,"Developed social media strategies, managed social media accounts, and created engaging content to drive audience engagement."
rohan@xyzcorp.com,Research Scientist,PT,Research Labs,Boston,15/06/2018,09/04/2019,FALSE,"Conducted scientific research, performed experiments, and analyzed data to contribute to advancements in the field."
sam@xyzcorp.com,Administrative Assistant,IN,Admin Solutions,New York,03/02/2022,Present,TRUE,"Provided administrative support, managed calendars, scheduled meetings, and coordinated travel arrangements."
sam@xyzcorp.com,UI/UX Researcher,FTE,User Insights,Vancouver,10/09/2021,03/01/2022,FALSE,"Conducted user research, usability testing, and translated findings into actionable recommendations for improving user experience."
mia@xyzcorp.com,Sales Operations Analyst,PT,Sales Excellence,Chicago,25/11/2017,Present,TRUE,"Analyzed sales data, generated sales reports, and provided insights to optimize sales processes and drive revenue growth."
mia@xyzcorp.com,IT Project Manager,IN,Tech Solutions,New Delhi,15/05/2018,25/10/2017,FALSE,"Led IT projects, managed project scope, budget, and timelines, and coordinated with stakeholders to ensure successful project delivery."
sunil@efgsolutions.com,Content Marketing Manager,FTE,Content Creators,Toronto,01/09/2019,Present,TRUE,"Developed and executed content marketing strategies, created engaging content, and managed content distribution across various channels."
sunil@efgsolutions.com,Quality Assurance Analyst,PT,QA Solutions,Melbourne,10/03/2022,31/12/2022,FALSE,"Conducted software testing, identified and reported defects, and collaborated with development teams to ensure high-quality software delivery."
priya@efgsolutions.com,Human Resources Assistant,IN,HR Solutions,Paris,01/07/2020,Present,TRUE,"Assisted with HR tasks, managed employee records, facilitated recruitment processes, and supported HR initiatives and programs."
priya@efgsolutions.com,Data Engineer,FTE,Data Innovators,San Francisco,03/01/2019,01/06/2020,FALSE,"Designed and implemented data pipelines, optimized data storage and retrieval, and worked closely with data scientists and analysts."
rahul@efgsolutions.com,Event Coordinator,PT,Events Unlimited,London,20/04/2019,Present,TRUE,"Planned and executed corporate events, managed event logistics, coordinated with vendors, and ensured smooth event operations."
rahul@efgsolutions.com,Systems Administrator,IN,System Solutions,Sydney,15/11/2016,20/03/2019,FALSE,"Managed computer systems and networks, performed system maintenance and troubleshooting, and ensured data security and backup processes."
nisha@efgsolutions.com,UX Designer,FTE,Design Studio,New York,10/08/2018,Present,TRUE,"Created user-centric design concepts, wireframes, and prototypes, conducted user research, and collaborated with cross-functional teams."
nisha@efgsolutions.com,Business Development Manager,PT,Business Growth Inc.,Chicago,28/02/2017,10/07/2018,FALSE,"Identified new business opportunities, developed strategic partnerships, and implemented sales and marketing strategies to drive growth."
aanya@pqrsolutions.com,Technical Support Engineer,IN,Tech Support Ltd.,Bangalore,01/06/2021,Present,TRUE,"Provided technical support to customers, diagnosed and resolved software and hardware issues, and ensured customer satisfaction and retention."
aanya@pqrsolutions.com,IT Project Manager,FTE,Tech Solutions,New Delhi,15/05/2018,01/06/2021,FALSE,"Led IT projects, managed project scope, budget, and timelines, and coordinated with stakeholders to ensure successful project delivery."
piyush@pqrsolutions.com,Content Marketing Manager,PT,Content Creators,Toronto,01/09/2019,Present,TRUE,"Developed and executed content marketing strategies, created engaging content, and managed content distribution across various channels."
piyush@pqrsolutions.com,Quality Assurance Analyst,IN,QA Solutions,Melbourne,10/03/2018,01/08/2019,FALSE,"Conducted software testing, identified and reported defects, and collaborated with development teams to ensure high-quality software delivery."
neha@pqrsolutions.com,Human Resources Assistant,FTE,HR Solutions,Paris,01/07/2020,Present,TRUE,"Assisted with HR tasks, managed employee records, facilitated recruitment processes, and supported HR initiatives and programs."
