account_email,employment_company_name,name,start_date,end_date,currently_working,description,roles_and_responsibilities,technologies_used
amol@drc.com,Informatica,iWeb-Sprint,01/06/2009,01/06/2010,False,"Asurion, LLC is a privately held company that provides device  protection and support services for smart phones, tablets,  consumer electronics, appliances, satellite receivers and jewellery. iWeb Sprint is a Claims Management System, which manages  claims for Sprint consumers for different product lines such as  TEP, TEPPLUS and ESRP
","Worked on developing responsive and dynamic app which will  add component to display on spa page. Involved in all phases of the life cycle of the project including  requirement study, design, development, and deployment and  testing","AngularJS, HTML5, CSS3, Java, Tibco Services"
amol@drc.com,Informatica,UCP Advisor Deployment Manager,01/06/2010,01/06/2011,False,"Hitachi UCP Advisor management and orchestration software lets IT move applications and workloads between data centers, UCP systems and solutions. It also lowers risk and enables rapid delivery of new services. Day zero automation eliminates hundreds of tasks for faster deployments.
","Involved in all phases of the life cycle of the project including  requirement study, design, development, and deployment and testing. Designed the entire Architecture of a web-based solution. Involved in LOE estimation. Designed and Developed web based app using Angular. Desined the unit test architecture for TDD approach.","Angular6, React JS, Redux, HTML5, CSS3"
amol@drc.com,Google,Enterprise Partner Connect (EPC),01/06/2011,,False,"PC is a platform built for partners in Mortgage Industry to build different applications like Credit Report Generation, Title and  Closing reports, 4506T Reports and many other mortgage related reports requests.",Coordinated with business analysts for any spec modifications  related to the defect or enhancement. Involved in Architecture Designing of a web-based solution. Development activities for the enhancements and defects. Performed Unit testing of the developed code. Involved in peer code review activities ,"Angular JS 1.6, JavaScript, HTML, CSS"
ajit@drc.com,ABC Corporation,Jane Smith,01/06/2019,15/03/2022,FALSE,Served as a marketing specialist responsible for...,"Created and managed social media marketing campaigns, analyzed campaign performance, generated marketing reports","Google Analytics, Facebook Ads Manager, Hootsuite"
ajit@drc.com,ABC Corporation,David Williams,10/09/2017,01/06/2019,FALSE,"Worked as a systems administrator, maintaining and securing company's IT infrastructure.","Managed network infrastructure, implemented security measures, provided technical support to end-users","Windows Server, Linux, Active Directory, Cisco networking equipment"
ajit@drc.com,XYZ Solutions,Sarah Jones,20/08/2014,08/09/2017,FALSE,Worked as a project manager overseeing multiple projects,"Led project teams, developed project plans, monitored project progress, communicated with stakeholders, ensured timely delivery of projects","Agile methodology, Microsoft Project, JIRA, Microsoft Excel"
arya@drc.com,Marketing Inc.,Mark Thompson,10/04/2019,31/05/2023,FALSE,Served as a financial analyst providing insights,"Conducted financial analysis, prepared reports, performed budgeting and forecasting, identified cost-saving opportunities, collaborated with cross-functional teams","Excel, SQL, Tableau, Bloomberg Terminal"
arya@drc.com,Marketing Inc.,Emily Wilson,15/01/2017,08/04/2019,FALSE,Currently working as a software developer,"Developing and maintaining software applications, participating in code reviews, collaborating with the development team, troubleshooting and debugging software issues","Python, JavaScript, React, PostgreSQL"
arya@drc.com,Global Corp,Alex Walker,10/06/2016,12/01/2017,FALSE,Worked as a sales representative,"Prospected and acquired new clients, managed customer relationships, conducted sales presentations, achieved sales targets","CRM software, Microsoft Excel, PowerPoint"
kirti@drc.com,Sales Unlimited,Lisa Anderson,05/01/2019,15/03/2023,FALSE,Served as a human resources manager,"Oversaw recruitment and onboarding, managed employee relations, administered HR policies, conducted training and development programs","HRIS systems, Performance management tools, Employee engagement platforms"
kirti@drc.com,Creative Studio,Robert Turner,20/03/2018,02/01/2019,FALSE,Currently working as a software engineer,"Developing and maintaining software applications, collaborating with the development team, conducting code reviews, troubleshooting and debugging software issues","Java, C++, Spring, MySQL"
