account_email,project_name,date,hours_worked,status,remark
john@abc.com,Revenue Recovery System,2023-07-03,8,Submitted,worked well
john@abc.com,Revenue Recovery System,2023-07-04,7,Submitted,worked well
john@abc.com,Revenue Recovery System,2023-07-05,8,Submitted,worked well
john@abc.com,Revenue Recovery System,2023-07-06,9,Submitted,worked well
john@abc.com,Revenue Recovery System,2023-07-07,6,Submitted,worked well
john@abc.com,Revenue Recovery System,2023-07-08,3,Submitted,worked well
john@abc.com,Revenue Recovery System,2023-07-09,4,Submitted,worked well
amol@drc.com,Navigation system,2023-07-03,9,Submitted,worked well
amol@drc.com,Navigation system,2023-07-04,7,Submitted,worked well
amol@drc.com,Navigation system,2023-07-05,8,Submitted,worked well
amol@drc.com,Navigation system,2023-07-06,5,Submitted,worked well
amol@drc.com,Navigation system,2023-07-07,10,Submitted,worked well
amol@drc.com,Navigation system,2023-07-08,4,Submitted,worked well
amol@drc.com,Navigation system,2023-07-09,6,Submitted,worked well

